#Name Weight Length
Java 24.0568 16.7911
Masked 12.795 12.883
Java 24.7233 16.5814
Zebra 10.3892 12.2457
Masked 12.7169 12.7384
Masked 12.9387 12.8898
Zebra 10.6236 12.8569
Java 24.9816 15.9918
Java 25.9268 15.7707
Masked 12.1205 12.9658
Masked 12.5219 12.4399
Zebra 10.2891 11.3153
Masked 12.1818 12.9746
Zebra 10.6103 11.3048
Java 24.6498 15.4351
Java 25.6433 16.5278
Zebra 10.8135 12.9474
Java 25.0172 16.7458
Zebra 10.4264 11.2989
Masked 12.9405 12.7435
Masked 12.5664 12.05
Masked 12.3664 12.036
Masked 12.0981 12.0107
Java 25.2958 16.3228
Java 24.989 15.5352
Zebra 10.597 12.2258
Zebra 10.8581 12.9688
Java 24.0758 15.325
Masked 12.3496 12.9457
Java 25.3681 15.7436
Zebra 10.6971 12.4306
Java 25.2065 16.5121
Masked 12.7668 12.8912
Java 25.0676 15.7756
Java 25.7898 15.4804
Masked 12.9775 12.4953
Masked 12.4859 12.9673
Zebra 10.8774 12.6195
Java 25.578 16.7094
Java 25.028 15.2113
